drive,g,seed,t,rank_C,rho,rank,PR,frob
sin,0.3,0,53.0,6,2.7307297252299434,50,14.270622196310894,4.049483233388645
sin,0.3,0,54.0,6,2.876751812227117,50,13.804195288386849,4.143172559637762
sin,0.3,0,55.0,6,3.092885675284676,50,13.116283445435991,4.29284847087083
sin,0.3,0,56.0,7,3.3195746683296576,50,12.377889834016713,4.472635088654057
sin,0.3,0,57.0,7,3.5829075750474644,50,11.612827013143852,4.678811674534519
sin,0.3,0,58.0,8,3.8870622419074174,50,10.846570982195553,4.905410346682472
sin,0.3,0,59.0,8,4.210203729222627,50,10.099171857699655,5.152679053567097
sin,0.3,0,60.0,9,4.552715652767724,49,9.380168533856867,5.422969196756627
sin,0.3,0,61.0,8,4.903099480217666,49,8.721016366108325,5.707699826432085
sin,0.3,0,62.0,8,5.252553144921542,49,8.128801301003937,6.000121531218413
sin,0.3,0,63.0,8,5.608909861424769,49,7.5888072193820015,6.303984475321506
sin,0.3,0,64.0,7,5.973914180019138,49,7.0948067137314315,6.619725873542471
sin,0.3,0,65.0,7,6.343779623452852,49,6.645576895110214,6.9445082696318226
sin,0.3,0,66.0,6,6.717899790174325,49,6.238548333699519,7.277546082527156
sin,0.3,0,67.0,7,7.0945781948535656,49,5.870629886071014,7.616883345868631
sin,0.3,0,68.0,6,7.472137742595553,49,5.537993494890125,7.960526493931074
sin,0.3,0,69.0,5,7.85070140425252,49,5.2364725339478975,8.30815815985367
sin,0.3,0,70.0,5,8.229724500912065,49,4.962955863611338,8.658936136326547
sin,0.3,0,71.0,5,8.608098082514113,49,4.714833427071312,9.011515140535716
sin,0.3,0,72.0,4,8.98554166802493,49,4.489224564739214,9.365324299654567
sin,0.3,0,73.0,3,9.361777012147423,49,4.283650634845691,9.719847224519006
sin,0.3,0,74.0,3,9.736325062862793,49,4.096043107949948,10.07441569155722
sin,0.3,0,75.0,3,10.108822483361156,49,3.9245168837839026,10.428492682062057
sin,0.3,0,76.0,3,10.479004135915321,49,3.7673719510373966,10.781656081899063
sin,0.3,0,77.0,3,10.846662901513628,49,3.6230963883595986,11.133559541472144
sin,0.3,0,78.0,3,11.211640492569941,49,3.4903500928859152,11.48392154558187
sin,0.3,0,79.0,2,11.57381081647454,49,3.3679497882474263,11.832507279133377
sin,0.3,0,80.0,2,11.93306989960654,49,3.2548519231755613,12.179116815257547
sin,0.3,0,81.0,2,12.289334048481109,49,3.1501348403658014,12.523581468102087
sin,0.3,0,82.0,1,12.642536469505554,49,3.052983668081102,12.865758969626224
sin,0.3,0,83.0,1,12.992624220934728,49,2.9626770347252815,13.2055291945371
sin,0.3,0,84.0,1,13.339555985423873,49,2.878575326338795,13.542790870409341
sin,0.3,0,85.0,1,13.683300252268866,49,2.8001104290519145,13.877458848543222
sin,0.3,0,86.0,1,14.023833804396324,49,2.7267768019914,14.209461808621977
sin,0.3,0,87.0,1,14.36114050825408,49,2.6581237118057817,14.538740374150516
sin,0.3,0,88.0,1,14.695210292709888,49,2.5937484958804715,14.865245510273443
sin,0.3,0,89.0,1,15.026038283695188,49,2.5332907181446944,15.18893715643812
sin,0.3,0,90.0,1,15.353624073555029,49,2.4764270961918826,15.50978306082764
sin,0.3,0,91.0,1,15.677971100807532,49,2.4228670948786046,15.827757782385005
sin,0.3,0,92.0,1,15.999086121048048,49,2.3723490950031905,16.142841832841064
sin,0.3,0,93.0,1,16.316978754656503,49,2.324637057740193,16.455020937366154
sin,0.3,0,94.0,1,16.63166109863785,49,2.2795176165947297,16.764285395257147
sin,0.3,0,95.0,1,16.94314739237124,49,2.2367975381588305,17.070629525426195
sin,0.3,0,96.0,1,17.251453728996673,49,2.196301501237097,17.374051184169332
sin,0.3,0,97.0,1,17.556597805508275,49,2.157870151094305,17.674551344675585
sin,0.3,0,98.0,1,17.858598705772472,49,2.121358391741521,17.972133729421465
sin,0.3,0,99.0,1,18.15747671165623,49,2.0866338844541654,18.26680448801326
sin,0.3,0,100.0,1,18.453253138224024,49,2.053575725229998,18.558571914191287
sin,0.3,0,101.0,1,18.745950189601718,49,2.0220732777495414,18.847446196670354
sin,0.3,0,102.0,1,19.03559083263999,49,1.9920251416909898,19.133439199295264
sin,0.3,0,103.0,1,19.32219868595036,49,1.963338239059336,19.41656426665943
sin,0.3,0,104.0,1,19.605797922252258,49,1.9359270035862084,19.696836051895566
sin,0.3,0,105.0,1,19.88641318227628,49,1.9097126603042762,19.97427036381949
sin,0.3,0,106.0,1,20.1640694987257,49,1.8846225841501534,20.248884031006146
sin,0.3,0,107.0,1,20.43879222901213,49,1.8605897279474681,20.520694780713068
sin,0.3,0,108.0,1,20.710606995665298,49,1.8375521114048625,20.789721130851884
sin,0.3,0,109.0,1,20.979539633467002,49,1.8154523638643414,21.05598229345078
sin,0.3,0,110.0,1,21.245616142492203,49,1.7942373144809027,21.319498088257525
sin,0.3,0,111.0,1,21.508862646349552,49,1.773857624327631,21.580288865309054
sin,0.3,0,112.0,1,21.76930535500632,49,1.7542674556211608,21.838375435444867
sin,0.3,0,113.0,1,22.026970531665835,49,1.7354241738669565,22.093779007871195
sin,0.3,0,114.0,1,22.281884463231865,49,1.7172880792462912,22.346521133994685
sin,0.3,0,115.0,1,22.53407343395467,49,1.699822164018955,22.59662365684051
sin,0.3,0,116.0,1,22.783563701903777,49,1.68299189310781,22.844108665453216
sin,0.3,0,117.0,1,23.03038147795648,49,1.6667650053715595,23.08899845375064
sin,0.3,0,118.0,1,23.274552907029193,49,1.6511113333682121,23.331315483363888
sin,0.3,0,119.0,1,23.516104051310826,49,1.6360026396694654,23.571082350050755
sin,0.3,0,120.0,1,23.755060875286308,49,1.6214124680112356,23.80832175331748
sin,0.3,0,121.0,1,23.99144923236348,49,1.6073160077620772,24.043056468925148
sin,0.3,0,122.0,1,24.225294852937186,49,1.5936899703632526,24.275309323993312
sin,0.3,0,123.0,1,24.456623333743863,49,1.5805124765449639,24.505103174445154
sin,0.3,0,124.0,1,24.685460128376466,49,1.5677629532556283,24.73246088456645
sin,0.3,0,125.0,1,24.911830538843823,49,1.5554220393574028,24.95740530847513
sin,0.3,0,126.0,1,25.13575970807079,49,1.5434714992435992,25.17995927331986
sin,0.3,0,127.0,1,25.357272613247485,49,1.5318941436239681,25.400145564045083
sin,0.3,0,128.0,1,25.576394059945105,49,1.5206737568035633,25.617986909577006
sin,0.3,0,129.0,1,25.79314867692491,49,1.5097950298514362,25.833505970299722
sin,0.3,0,130.0,1,26.007560911573975,49,1.4992434991178303,26.046725326704088
sin,0.3,0,131.0,1,26.219655025909383,49,1.4890054896139227,26.2576674691037
sin,0.3,0,132.0,1,26.429455093096408,49,1.4790680628173367,26.466354788322693
sin,0.3,0,133.0,1,26.63698499443441,49,1.4694189685103023,26.67280956726948
sin,0.3,0,134.0,1,26.842268416765844,49,1.4600466002963253,26.877053973318915
sin,0.3,0,135.0,1,27.045328850270742,49,1.450939954475811,27.079110051432657
sin,0.3,0,136.0,1,27.246189586611052,49,1.4420885919921262,27.27899971795418
sin,0.3,0,137.0,1,27.44487371739304,49,1.4334826031871857,27.47674475502099
sin,0.3,0,138.0,1,27.64140413291929,49,1.425112575130403,27.672366805541703
sin,0.3,0,139.0,1,27.835803521204596,49,1.4169695613070168,27.86588736869054
sin,0.3,0,140.0,1,28.028094367231237,49,1.409045053471682,28.057327795876162
sin,0.3,0,141.0,1,28.21829895242364,49,1.4013309554910283,28.246709287145492
sin,0.3,0,142.0,1,28.406439354321527,49,1.3938195590149864,28.434052887986798
sin,0.3,0,143.0,1,28.592537446435124,49,1.3865035208310308,28.61937948649938
sin,0.3,0,144.0,1,28.776614898265247,49,1.3793758417685829,28.802709810900048
sin,0.3,0,145.0,1,28.95869317547487,49,1.3724298470324625,28.984064427339224
sin,0.3,0,146.0,1,29.138793540197188,49,1.3656591678548937,29.16346373800171
sin,0.3,0,147.0,1,29.316937051469704,49,1.359057724365146,29.340927979469395
sin,0.3,0,148.0,1,29.493144565781712,49,1.3526197095845158,29.51647722132495
sin,0.3,0,149.0,1,29.66743673772576,49,1.3463395744621853,29.69013136497747
sin,0.3,0,150.0,1,29.839834020744046,49,1.3402120138746298,29.861910142692402
sin,0.3,0,151.0,1,30.010356667959936,49,1.3342319535176526,30.031833116809683
sin,0.3,0,152.0,1,30.17902473308839,49,1.3283945376259683,30.199919679135256
sin,0.3,0,153.0,1,30.34585807141688,49,1.3226951174606274,30.36618905049233
sin,0.3,0,154.0,1,30.510876340850682,49,1.3171292405093278,30.530660280419813
sin,0.3,0,155.0,1,30.674099003016785,49,1.3116926403491325,30.693352247006406
sin,0.3,0,156.0,1,30.8355453244203,49,1.3063812271251096,30.85428365684966
