g,n,lle_map_mean,lle_map_std,lle_flow_mean,lle_flow_std
0.1,10,-2.216624701459992,0.18199400111836755,-0.9259732703159184,0.024080169227390973
0.3,10,-1.1180124127918996,0.18199400111835978,-0.7350296235803593,0.07290651766601089
0.5,10,-0.6071867890259098,0.18199400111836184,-0.5428152061722875,0.12273349753008579
0.7,10,-0.27071455240526104,0.1819940011175867,-0.3513716459723694,0.1721109383943913
0.8,10,-0.20906859481401333,0.13339526880502833,-0.26712695128488056,0.16817968760174476
0.9,10,-0.15872785538867976,0.12389513948524346,-0.2713189363076716,0.10673333430340841
0.95,10,-0.15663521596239707,0.11950213789916282,-0.2647386380430415,0.14881754199767536
1.0,10,-0.17099998484773277,0.12224811138990851,-0.24773651285050646,0.158193195352213
1.05,10,-0.19602854919918866,0.13065999378236676,-0.25504898918788305,0.14137893367983326
1.1,10,-0.19954626919730745,0.14275640070480408,-0.26026791978489766,0.14988952228734123
1.2,10,-0.17704555820064885,0.1497267484907771,-0.2469113570128106,0.20470078390674393
1.5,10,-0.16739762243357414,0.18524591109624725,-0.21728016498863742,0.20128459528718942
2.0,10,-0.1581371807613209,0.20624933892816238,-0.21499765906194251,0.22877064799126068
3.0,10,-0.21699238585748454,0.23341588781910486,-0.3824820200407134,0.3151994165108293
0.1,50,-2.3009062113172725,0.04655225314229616,-0.9247915911603156,0.010685078964362877
0.3,50,-1.2022939226491645,0.046552253142302484,-0.7373464274422666,0.03305300498651334
0.5,50,-0.6914682988831709,0.046552253142299986,-0.5517746810218762,0.05254291344895477
0.7,50,-0.35499606226196206,0.04655225314229885,-0.36197112345790206,0.0682507463259535
0.8,50,-0.22146466963744,0.046552253142295344,-0.2651926015391282,0.07611809055929647
0.9,50,-0.10368163508626498,0.0465522510654433,-0.16987632714058876,0.08489312466472095
0.95,50,-0.06878287751707408,0.0168275929542452,-0.12323305011868924,0.08786738152091648
1.0,50,-0.02417746834343884,0.01631906079217879,-0.10001515903627023,0.06217341078354962
1.05,50,-0.013665954487078035,0.015579948444907557,-0.08853575015559431,0.07589966873147301
1.1,50,-0.007881784188185314,0.008915959414473212,-0.07473757720967837,0.10170057245170257
1.2,50,-0.0026264905235601696,0.0024517187983871245,-0.07225433598334204,0.10507218234131659
1.5,50,0.007115928864647731,0.0266074938238712,-0.08940035883639996,0.07847671459404341
2.0,50,0.09261710996569368,0.047288959097090535,-0.06507135895833048,0.14076126523576973
3.0,50,0.25026564537538565,0.017811667234213423,0.04815804998239181,0.029018088224242178
0.1,100,-2.2647381655645473,0.028629241973132633,-0.9191411912106343,0.0021983525157459756
0.3,100,-1.1661258768964338,0.028629241973139742,-0.7211839071211635,0.010629152137200112
0.5,100,-0.6553002531304426,0.0286292419731389,-0.5232341462839469,0.017389097382353887
0.7,100,-0.31882801650923076,0.0286292419731375,-0.3207734856517767,0.024843579348768494
0.8,100,-0.18529662388470786,0.028629241973137765,-0.21958199902762382,0.02798207937716183
0.9,100,-0.06751358822935265,0.02862924197169526,-0.12070564843273526,0.03210728504659593
0.95,100,-0.028978224517618778,0.020682126125604598,-0.07026579339957327,0.03388328426216761
1.0,100,-0.009987640423876506,0.014800771042318505,-0.027776768168491738,0.019080533720119607
1.05,100,-0.006607280453166173,0.010217185135778118,-0.013443729163631324,0.047865865759557265
1.1,100,-0.002639810794391607,0.0035662663318552007,-0.03926832563980957,0.0656138216567203
1.2,100,-0.0012847509380838433,0.00099515921799269,-0.06879831995980923,0.06602698375226712
1.5,100,0.01952075218377282,0.018872803086428042,-0.06442679778242444,0.06064137105838163
2.0,100,0.13315977767328843,0.008919689065571881,0.007399378669186554,0.12512499894692278
3.0,100,0.28706579931553705,0.001051599382012978,0.04021052589802871,0.12040531718090129
0.1,200,-2.276187270897232,0.016744464712435354,-0.9197380465411491,0.005084382138978328
0.3,200,-1.1775749822291182,0.01674446471244271,-0.727796018194859,0.008265599508053091
0.5,200,-0.6667493584631294,0.01674446471244021,-0.5368678421966615,0.010789988125245733
0.7,200,-0.33027712184191593,0.01674446471244071,-0.34641199065124895,0.019740945832947474
0.8,200,-0.19674572921739325,0.016744464712440735,-0.24773694481552472,0.0199868108812722
0.9,200,-0.07896269356100978,0.01674446471244087,-0.1492113053168156,0.01948046612364965
0.95,200,-0.02658506081927845,0.01398803917852777,-0.10017457920164383,0.019077859045599728
1.0,200,-0.008014616791261942,0.013942298384611921,-0.051541945093109144,0.018875661203131652
1.05,200,-0.004081271395603603,0.005030205787624669,-0.003718604012414364,0.018385834977407783
1.1,200,-0.00033060684991245985,0.0014926515414005468,0.02000442014289868,0.019594105527577975
1.2,200,0.0028020048719464346,0.005325830387247743,0.0060051622432066585,0.029686735661165826
1.5,200,0.0537755250100697,0.007977957572632819,-0.014006696950916631,0.029211571118424408
2.0,200,0.14572507349009495,0.004393369507509738,0.07349594433502164,0.048719221064951516
3.0,200,0.29850662669427264,0.0011478315403817138,0.16373677362456548,0.03884844913608451
