g,lle_map_mean,lle_map_std,lle_flow_mean,lle_flow_std
0.1,-2.3009062113172725,0.04655225314229616,-0.9247915911603156,0.010685078964362877
0.3,-1.2022939226491645,0.046552253142302484,-0.7373464274422666,0.03305300498651334
0.5,-0.6914682988831709,0.046552253142299986,-0.5517746810218762,0.05254291344895477
0.7,-0.35499606226196206,0.04655225314229885,-0.36197112345790206,0.0682507463259535
0.8,-0.22146466963744,0.046552253142295344,-0.2651926015391282,0.07611809055929647
0.9,-0.10368163508626498,0.0465522510654433,-0.16987632714058876,0.08489312466472095
0.95,-0.06878287751707408,0.0168275929542452,-0.12323305011868924,0.08786738152091648
1.0,-0.02417746834343884,0.01631906079217879,-0.10001515903627023,0.06217341078354962
1.05,-0.013665954487078035,0.015579948444907557,-0.08853575015559431,0.07589966873147301
1.1,-0.007881784188185314,0.008915959414473212,-0.07473757720967837,0.10170057245170257
1.2,-0.0026264905235601696,0.0024517187983871245,-0.07225433598334204,0.10507218234131659
1.5,0.007115928864647731,0.0266074938238712,-0.08940035883639996,0.07847671459404341
2.0,0.09261710996569368,0.047288959097090535,-0.06507135895833048,0.14076126523576973
3.0,0.25026564537538565,0.017811667234213423,0.04815804998239181,0.029018088224242178
