g,activation,lle_map_mean,lle_map_std,lle_flow_mean,lle_flow_std
0.1,tanh,-2.3009062113172725,0.04655225314229616,-0.9247915911603156,0.010685078964362877
0.3,tanh,-1.2022939226491645,0.046552253142302484,-0.7373464274422666,0.03305300498651334
0.5,tanh,-0.6914682988831709,0.046552253142299986,-0.5517746810218762,0.05254291344895477
0.7,tanh,-0.35499606226196206,0.04655225314229885,-0.36197112345790206,0.0682507463259535
0.8,tanh,-0.22146466963744,0.046552253142295344,-0.2651926015391282,0.07611809055929647
0.9,tanh,-0.10368163508626498,0.0465522510654433,-0.16987632714058876,0.08489312466472095
0.95,tanh,-0.06878287751707408,0.0168275929542452,-0.12323305011868924,0.08786738152091648
1.0,tanh,-0.02417746834343884,0.01631906079217879,-0.10001515903627023,0.06217341078354962
1.05,tanh,-0.013665954487078035,0.015579948444907557,-0.08853575015559431,0.07589966873147301
1.1,tanh,-0.007881784188185314,0.008915959414473212,-0.07473757720967837,0.10170057245170257
1.2,tanh,-0.0026264905235601696,0.0024517187983871245,-0.07225433598334204,0.10507218234131659
1.5,tanh,0.007115928864647731,0.0266074938238712,-0.08940035883639996,0.07847671459404341
2.0,tanh,0.09261710996569368,0.047288959097090535,-0.06507135895833048,0.14076126523576973
3.0,tanh,0.25026564537538565,0.017811667234213423,0.04815804998239181,0.029018088224242178
0.1,softsign,-2.3009062113172725,0.04655225314229616,-0.924791591160645,0.010685078964364134
0.3,softsign,-1.2022939226491645,0.046552253142302484,-0.737346427492233,0.033053004936742444
0.5,softsign,-0.6914682988831709,0.046552253142299986,-0.5517746902315684,0.05254290404238248
0.7,softsign,-0.35499606226196206,0.04655225314229885,-0.3619729346546408,0.06824841269294966
0.8,softsign,-0.22146466963744005,0.04655225314229523,-0.2652248615975184,0.07607156121926179
0.9,softsign,-0.10368806123722178,0.04654017556811554,-0.17107809403596919,0.08310212509966086
0.95,softsign,-0.06518369580282726,0.020316533145989784,-0.13126684004537603,0.07650394084317311
1.0,softsign,-0.02838286426129425,0.019885747929533022,-0.10306457684106127,0.06021102482130394
1.05,softsign,-0.019518289154679857,0.01885826137372192,-0.081989559684536,0.06049030266459815
1.1,softsign,-0.013305102452407814,0.015736388237197738,-0.07191073443841951,0.07021323374173308
1.2,softsign,-0.007382439349799851,0.011716127826285701,-0.08697972259679672,0.09987358571338827
1.5,softsign,0.0025995337400077914,0.009213590772674803,-0.1410510165946613,0.12880026187307625
2.0,softsign,0.018639818724774413,0.030923233299397612,-0.10554966462270716,0.09421563640823866
3.0,softsign,0.1032585382802352,0.032972039264361507,-0.005084917701465646,0.09184372826120558
0.1,arctan,-2.752488916606731,0.046552253142300895,-0.9560529141257126,0.006652977914543486
0.3,arctan,-1.6538766279386183,0.046552253142301596,-0.8409733666800498,0.021974780844297957
0.5,arctan,-1.1430510041726336,0.046552253142286566,-0.7204311209657345,0.03566822237912269
0.7,arctan,-0.8065787675514159,0.04655225314229566,-0.6015463482371868,0.04765610017340532
0.8,arctan,-0.6730473749268936,0.04655225314229874,-0.5430850758589694,0.05335705161472369
0.9,arctan,-0.5552643392705096,0.04655225314229915,-0.4828550504172167,0.05893907954144662
0.95,arctan,-0.501197118000235,0.046552253142295524,-0.45252824599843355,0.061071741769235084
1.0,arctan,-0.4499038236126851,0.046552253142298626,-0.4220483362421931,0.06292287099568633
1.05,arctan,-0.4011136594432528,0.046552253142295046,-0.39171350044120123,0.06525031080644761
1.1,arctan,-0.35459364380835834,0.04655225314229826,-0.3617065663025961,0.0682799715143022
1.2,arctan,-0.2675822668187308,0.04655225314229595,-0.3008325320609164,0.07409971612906897
1.5,arctan,-0.0643098601067177,0.016430405992778684,-0.11910676694654376,0.08726055078749849
2.0,arctan,0.001973907308189788,0.009325910568415113,-0.09990646762186219,0.11110448611348116
3.0,arctan,0.049519911279841344,0.03669358246577273,-0.053977228453161455,0.09551561316436005
0.1,centered_sigmoid,-2.9940533918772205,0.04655225314230437,-0.9677092691143553,0.005686610554367817
0.3,centered_sigmoid,-1.8954411032091056,0.046552253142308334,-0.8797909818556029,0.017519114523382045
0.5,centered_sigmoid,-1.3846154794431196,0.04655225314228582,-0.7840446202694247,0.02677059650568723
0.7,centered_sigmoid,-1.0481432428219042,0.04655225314229775,-0.6910277406112961,0.03986929310136868
0.8,centered_sigmoid,-0.9146118501973876,0.04655225314229131,-0.6438475736846472,0.044066758722726314
0.9,centered_sigmoid,-0.7968288145409966,0.046552253142301464,-0.5975609272774436,0.048041688453750155
0.95,centered_sigmoid,-0.742761593270729,0.046552253142293935,-0.5747918235591694,0.050303974649958665
1.0,centered_sigmoid,-0.6914682988831709,0.046552253142299986,-0.5517746810218747,0.0525429134489568
1.05,centered_sigmoid,-0.6426781347137409,0.04655225314229711,-0.5282764750302362,0.05473435190701874
1.1,centered_sigmoid,-0.5961581190788501,0.046552253142295205,-0.5045978778620466,0.05697771954665269
1.2,centered_sigmoid,-0.5091467420892226,0.046552253142292464,-0.45710750057691535,0.06079102294309235
1.5,centered_sigmoid,-0.28600319077501213,0.04655225314229485,-0.3144749002730215,0.07312906322817757
2.0,centered_sigmoid,-0.024042903682258386,0.016521609231139354,-0.09296686047771656,0.0682214158934032
3.0,centered_sigmoid,0.007421745373046637,0.026876395464916936,-0.08602835257330334,0.07973826111269453
0.1,sigmoid_firing,-3.6875861355739694,0.04657529257497459,-0.988126809897968,0.0036683400916574563
0.3,sigmoid_firing,-2.5920655113886175,0.046824950073600415,-0.9466405955763374,0.007694993899027647
0.5,sigmoid_firing,-2.087697726522368,0.04776175330599223,-0.9040432710557933,0.014346211722330268
0.7,sigmoid_firing,-1.7606482604532339,0.04924213831078462,-0.8600314993550618,0.020273037547135962
0.8,sigmoid_firing,-1.6331947966152973,0.05041658094027937,-0.8381356185526609,0.022650361447612892
0.9,sigmoid_firing,-1.522540347529515,0.05199970547142004,-0.8169419849015178,0.025288372861700364
0.95,sigmoid_firing,-1.4724443889331056,0.052953141760493476,-0.8066535948809122,0.026717233500239985
1.0,sigmoid_firing,-1.4253945667351666,0.054011636967593646,-0.796534064074295,0.028134712632860957
1.05,sigmoid_firing,-1.3810919511814734,0.05514560984401465,-0.7865363326719301,0.029454939781697755
1.1,sigmoid_firing,-1.3393159931053207,0.05636111594068025,-0.7766269843791896,0.030625263346904325
1.2,sigmoid_firing,-1.262738619394924,0.05917779408011946,-0.7570962611867434,0.03260475393849301
1.5,sigmoid_firing,-1.0732270606631211,0.0660424058272394,-0.7021644950502293,0.038386500589160155
2.0,sigmoid_firing,-0.8436251238642359,0.06782314774457814,-0.6254059653912557,0.047895012669859
3.0,sigmoid_firing,-0.5803935269857318,0.07913613673282384,-0.5471344235122255,0.05977722190584585
0.1,bounded_softplus,-4.047639685427772,0.04634170896100275,-0.9933751508618347,0.0025290778345863217
0.3,bounded_softplus,-2.9509435390651593,0.046041915094954936,-0.9658229016079662,0.00583389701402153
0.5,bounded_softplus,-2.443311767600071,0.04578747574808767,-0.936369544339622,0.009054113777545416
0.7,bounded_softplus,-2.1111480185152924,0.04546212790257615,-0.9064937751809691,0.013866539392420081
0.8,bounded_softplus,-1.9803542272536145,0.045428444190954195,-0.8911839039854541,0.016264814800247544
0.9,bounded_softplus,-1.8657543386570417,0.04554285445637046,-0.8757335689123286,0.018435236028435654
0.95,bounded_softplus,-1.8133983766978805,0.045611754612191274,-0.8680027746767337,0.01943472529286439
1.0,bounded_softplus,-1.7639712906616616,0.045761762024367464,-0.8602947108300073,0.020392405958300094
1.05,bounded_softplus,-1.7172019468447892,0.045994397507544464,-0.8526302467559376,0.02132720075088381
1.1,bounded_softplus,-1.672744256955358,0.046197634512258154,-0.8450304534331261,0.022261272955800205
1.2,bounded_softplus,-1.5903517530927567,0.0468856806500269,-0.8301004259850091,0.024211035998609187
1.5,bounded_softplus,-1.3842142663874077,0.05038985497936518,-0.7879743746264373,0.03103686604499101
2.0,bounded_softplus,-1.1351924148888741,0.06080417792752161,-0.7230070600248153,0.03938936782209499
3.0,bounded_softplus,-0.8158030461325774,0.07555048038827285,-0.6149603498425085,0.05367494000336926
0.1,smooth_capped_relu,-3.4416868142119084,0.04629349134931888,-0.9827187545685613,0.004410206753722689
