g,seed,lle_initial,lle_final,rho_initial,rho_final,r2
0.3,0,-1.2233454489791125,-21.377561046201603,0.2957897902982834,14.717292122112111,0.6224467108406154
0.3,1,-1.2035601873895916,-20.962047118927757,0.30173826616065064,13.895213833996586,0.6350263016465638
0.3,2,-1.0633805365006364,-19.65802212417137,0.34651072273711503,14.563513501066186,0.6381108749104232
0.3,3,-1.1813395210069215,-22.41623687061317,0.30734374744685505,15.247205534902545,0.597558123608751
0.3,4,-1.2033916315267459,-21.392245661459913,0.30076948745501136,14.976211167679129,0.6179474562319593
0.5,0,-0.7125198252131216,-17.041851485699187,0.4929829838304746,13.444184588593275,0.7150847991582935
0.5,1,-0.6927345636235999,-16.592055966715602,0.5028971102677504,13.724140411501882,0.6704306965666252
0.5,2,-0.5525549127346452,-16.099884934461024,0.5775178712285227,13.77895370314508,0.7228917865981099
0.5,3,-0.6705138972409319,-20.354935715478135,0.5122395790780887,14.66869983636403,0.6320179270241908
0.5,4,-0.6925660077607552,-5.261888975018748,0.5012824790916875,13.609893006043773,0.844376197869989
0.7,0,-0.37604758859190923,-12.09168648933448,0.6901761773626632,12.45904788013464,0.7295813914507663
0.7,1,-0.3562623270023872,-15.838650979338068,0.7040559543748491,11.392640188123186,0.7620770197637552
0.7,2,-0.21608267611343193,-18.94579163225543,0.8085250197199333,13.847401941918546,0.703999011312129
0.7,3,-0.33404166061971885,-9.14364200519431,0.7171354107093273,13.493601338661614,0.7403783185982282
0.7,4,-0.35609377113954177,-18.7548609470424,0.7017954707283603,13.995757689571755,0.6816082432472915
0.9,0,-0.12473316031100293,-14.492835502005647,0.8873693708948535,12.26270077877521,0.7779374633110534
0.9,1,-0.10494789872148112,-15.07232751566459,0.9052147984819455,11.235401742537,0.8024631274394574
0.9,2,-0.002933094296237712,-10.339752984729689,1.0395321682113423,12.151257793136804,0.7977543764444787
0.9,3,-0.08272723233881286,-17.489598054114328,0.9220312423405602,12.607666954205069,0.7411108744480663
0.9,4,-0.10477934285863623,-20.715671510457454,0.902308462365038,13.644615437306332,0.6805758904194308
1.0,0,-0.01937265189977286,-17.579602379313414,0.9859659676609493,12.824740746240384,0.7191558981378778
1.0,1,-0.006946291075777021,-14.669756446819516,1.0057942205355008,11.18174177149768,0.7786905662214038
1.0,2,-0.0011468154049877769,-5.197791389581799,1.1550357424570454,8.14331710495562,0.9987670481342991
1.0,3,-0.0025154764785907963,-7.834918753958784,1.0244791581561774,10.501350867519003,0.856279684416626
1.0,4,0.00018284503892831682,-11.27882923959817,1.002564958183375,13.130036361850928,0.7068327524502621
1.1,0,0.004576431686125983,-12.17225549376984,1.0845625644270416,13.273728915813317,0.7402815879177302
1.1,1,-0.007999041327066464,-14.771722392934766,1.1063736425890474,11.400967083671867,0.7608529852265562
1.1,2,-0.004391773390771424,-10.078246151706303,1.2705393167027552,11.403374085608268,0.8048593455554247
1.1,3,-0.0010120350562500074,-4.220873381762773,1.126927073971796,7.3564448225480845,0.9982074515680533
1.1,4,-0.06980899739933234,-20.04003369433267,1.1028214540017047,13.737420366163144,0.6710777409324276
1.3,0,0.004507732599946782,-18.50948452459264,1.2817557579592247,13.61044507558415,0.6791249597597189
1.3,1,0.0007592624646484108,-17.45119732282629,1.3075324866961517,13.637237449810263,0.7048618926477839
1.3,2,-0.003080534144757162,-6.192066522471757,1.5015464651941641,12.871163540682364,0.7642163557236646
1.3,3,-0.0007861625026389429,-3.507535136355608,1.3318229056030366,6.6046029212873645,0.9968584962256926
1.3,4,-0.056046601115728144,-14.125051255059134,1.30333444563838,13.965619157325,0.7201613633817423
1.5,0,0.03416397318421507,-19.796963397820008,1.4789489514914178,14.066585658039937,0.6602541336569192
1.5,1,-0.0018646471474598183,-25.258387287040062,1.5086913308032393,15.647648564958862,0.5317458559857217
1.5,2,-0.0013869339624820636,-15.48163820034058,1.7325536136855673,12.92506769711341,0.7397642493784162
1.5,3,0.05785142403293086,-9.844011232368262,1.5367187372342708,8.8508803259343,0.8646198556744121
1.5,4,-0.03287531171023111,-13.706064396738155,1.5038474372750623,12.60975003687869,0.7697192163793398
2.0,0,0.13523767113538337,-inf,1.9719319353218985,23.312957070693752,0.3047361488226874
2.0,1,0.11676932588935916,-inf,2.0115884410710017,22.16562141568728,0.353305271762538
2.0,2,0.1205018051511357,-27.181037707885203,2.310071484914091,18.93334891303407,0.41455559869952263
2.0,3,0.12518442467810498,-33.5740420299061,2.048958316312355,23.263312976732802,0.3432583951853113
2.0,4,0.11291781730840222,-14.82828549015376,2.00512991636675,14.554552839444279,0.6149969569401317
2.5,0,0.21455095956276882,-inf,2.4649149191523643,25.685049651869374,0.21129745927148735
2.5,1,0.1982946431748725,-inf,2.5144855513387463,25.354581613226028,0.2298627186489628
2.5,2,0.19053333721215449,-39.350860193197306,2.8875893561426267,23.023782805493976,0.3415243972823786
2.5,3,0.218639305828067,-inf,2.5611978953904555,25.012981240894394,0.23603878017464153
2.5,4,0.20757553422082575,-inf,2.5064123954584354,23.407332673644916,0.31526062265333576
3.0,0,0.2728794708652279,-inf,2.9578979029828356,26.080198556950165,0.2128834238347046
3.0,1,0.260716491682652,-inf,3.0173826616064785,25.698433680174183,0.21917063255244174
3.0,2,0.27596539978686163,-35.34454674041169,3.4651072273711345,23.265014202055685,0.33392430279645
3.0,3,0.2602460935920805,-inf,3.0734374744685415,25.653053876546092,0.22713409616438496
3.0,4,0.26629343479247186,-inf,3.0076948745501246,25.29972580800413,0.23338863704594226
