drive,g,seed,t,rho_W,frob_W,g_eff,mean_d2,rho_DW
sin,0.3,0,0.0,0.2957897902982834,2.12108641364672,0.21121930286037416,0.4958159456886983,0.22121366672126297
sin,0.3,0,1.0,0.29556107474746857,2.11769743512007,0.2058440244289521,0.4724095965902084,
sin,0.3,0,2.0,0.3222777600788048,2.1168344156482726,0.19887092160758874,0.4413049528555996,
sin,0.3,0,3.0,0.3598916265893999,2.1212105866903053,0.21211904618579702,0.4999905126171844,
sin,0.3,0,4.0,0.36402807000326376,2.1208320291392435,0.2083831729557064,0.4827060591493869,
sin,0.3,0,5.0,0.39441708204121384,2.121808568694425,0.1895006650387133,0.3988219782275945,0.22757069076648737
sin,0.3,0,6.0,0.4700280496432715,2.1326858717579498,0.2073536900713315,0.47265010364566434,
sin,0.3,0,7.0,0.5004741736847387,2.1405796648031252,0.20786075516918923,0.4714679934487418,
sin,0.3,0,8.0,0.513015860637168,2.1451980340336654,0.18433504006690024,0.36919092664876324,
sin,0.3,0,9.0,0.6038676832508647,2.162606248654323,0.20213191727384794,0.43680227147877054,
sin,0.3,0,10.0,0.6662205526093004,2.1816537508809204,0.20627793289613913,0.44699626636282797,0.47739336684617084
sin,0.3,0,11.0,0.6706845973078681,2.191505470668096,0.18675614429632545,0.3631070525481184,
sin,0.3,0,12.0,0.7479940940730687,2.2132110502842663,0.19632268018712046,0.39342802549346934,
sin,0.3,0,13.0,0.8386468660012854,2.2442685653638463,0.20601052600749342,0.42130748345368824,
sin,0.3,0,14.0,0.8536970542391126,2.26267631267189,0.19866255583307774,0.38544035310100094,
sin,0.3,0,15.0,0.9026050980391177,2.2863276317855696,0.1912235860718744,0.3497647118309366,0.477586224994789
sin,0.3,0,16.0,1.0117267087759982,2.3276655224505554,0.20890369456285082,0.40273659893692565,
sin,0.3,0,17.0,1.051776605941526,2.3586399944608956,0.21632502290758446,0.4205912218173216,
sin,0.3,0,18.0,1.0721404437982147,2.383478983120855,0.18949865589115777,0.31605278274970167,
sin,0.3,0,19.0,1.182304721493494,2.430490383721954,0.21211925292762754,0.3808398346017382,
sin,0.3,0,20.0,1.2539621698102184,2.4762031714281005,0.22717099204036278,0.4208266185968384,0.8991244557980491
sin,0.3,0,21.0,1.260701613663425,2.505000817235717,0.19590171538336137,0.30579525220598996,
sin,0.3,0,22.0,1.3504393083254655,2.5516506484968895,0.21396222146142002,0.35156187571531566,
sin,0.3,0,23.0,1.4500091162928723,2.610037273406337,0.22794264891448937,0.38135352685620844,
sin,0.3,0,24.0,1.4660682915868057,2.6485797873786616,0.21733430449266203,0.33666692076044696,
sin,0.3,0,25.0,1.5194612950941266,2.690537399928887,0.2179089102678906,0.32797588705146447,0.7994692870467166
sin,0.3,0,26.0,1.6331042676544945,2.755025752858814,0.22972826283960518,0.3476542443015642,
sin,0.3,0,27.0,1.6764043697253417,2.807730532357789,0.2539590479212872,0.40905954922659254,
sin,0.3,0,28.0,1.694938374251589,2.8463138392893934,0.2283331968240801,0.32176777674159524,
sin,0.3,0,29.0,1.8011123975735925,2.9080538109492937,0.23773201141945371,0.3341492241758309,
sin,0.3,0,30.0,1.874658858685971,2.9729776000691666,0.27616635658367106,0.431447812207811,1.4071906767118805
sin,0.3,0,31.0,1.8802806644862384,3.0159465263886,0.2501145696378673,0.34387508598631894,
sin,0.3,0,32.0,1.9558884992818508,3.0681573745403914,0.24954312420309394,0.3307546482654296,
sin,0.3,0,33.0,2.04875741649924,3.13692188457364,0.2723078793420884,0.3767758100690387,
sin,0.3,0,34.0,2.067951809331306,3.1914038316845015,0.2892120471969764,0.4106191875402241,
sin,0.3,0,35.0,2.1021231689328683,3.23509922136614,0.2694300862862459,0.34680629703131216,1.1991082582404085
sin,0.3,0,36.0,2.1960816520115127,3.2974298203699997,0.26609156793273664,0.32559753414087994,
sin,0.3,0,37.0,2.238738963187197,3.361082046206813,0.32450835709931125,0.46608330592572317,
sin,0.3,0,38.0,2.245010884814437,3.4057457604809773,0.3069177062780476,0.40605928235612515,
sin,0.3,0,39.0,2.320079881565661,3.455961441719302,0.27571510384924997,0.31823895736385266,
sin,0.3,0,40.0,2.379957128844075,3.518750923178003,0.3326948828214479,0.4469770183520255,1.854582390413931
sin,0.3,0,41.0,2.383163845924834,3.5704108884262866,0.35320253244409183,0.48930677079812573,
sin,0.3,0,42.0,2.427028264032224,3.6124988610326247,0.30997519384551936,0.3681361339550703,
sin,0.3,0,43.0,2.493783396481584,3.665873543856567,0.3373818425094255,0.4235049163649925,
sin,0.3,0,44.0,2.5070452232107243,3.7197123488354977,0.3819585774193872,0.5272102262687407,
sin,0.3,0,45.0,2.524227388095725,3.760451485217624,0.3594707296292991,0.4568957207563698,1.7172586529599547
sin,0.3,0,46.0,2.5876069407146858,3.8035554188476657,0.3493601213305265,0.4218297124996393,
sin,0.3,0,47.0,2.612229422810962,3.8536140186095444,0.39442072498516967,0.5237849698248759,
