g,seed,lle,tau_relax,alpha_fit,alpha_r2
0.3,0,-1.2007252250213092,0.8328300090324604,,
0.3,1,-1.2015548432833392,0.8322549782808287,,
0.3,2,-1.1753490146851442,0.8508111101517218,,
0.5,0,-0.6898996012553184,1.4494862704376597,,
0.5,1,-0.6907292195173472,1.4477453273205356,,
0.5,2,-0.6645233909191532,1.504837923939477,,
0.7,0,-0.35342736463410523,2.829435691928597,,
0.7,1,-0.35425698289613466,2.8228095656005516,,
0.7,2,-0.3280511542979408,3.048305079554104,,
0.9,0,-0.10211293635319957,9.793078484601489,,
0.9,1,-0.10294255461522851,9.714155664173385,,
0.9,2,-0.0767367260170347,13.031569782870475,,
1.0,0,-0.004399116503523017,227.31837158646593,,
1.0,1,-0.0076855224747770364,130.1147714136391,,
1.0,2,-0.0014324274841285801,698.1156191710129,,
1.1,0,-0.001238197689317177,807.625477440089,,
1.1,1,-0.0069336568112163864,144.22404039125897,,
1.1,2,-0.002273602659840412,439.83059030648377,,
1.3,0,0.0009293705458582627,,,
1.3,1,-0.0012063560334574135,828.9426771746666,,
1.3,2,-0.000686499362601177,1456.6655913720808,,
1.5,0,-0.02583896631171037,38.70123858425382,,
1.5,1,-0.0005124651942203073,1951.3520357640189,,
1.5,2,-0.0012779510715032988,782.5025717327854,,
2.0,0,0.1014321730968308,,,
2.0,1,0.1266283413148966,,,
2.0,2,0.07836231200929082,,,
2.5,0,0.19097013441757998,,,
2.5,1,0.19556809524716845,,,
2.5,2,0.18710199401337158,,,
3.0,0,0.27144990082553927,,,
3.0,1,0.2637202877716974,,,
3.0,2,0.26670991853196724,,,
